Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM
Date,,,,,,,,,,,,,,,
2020-05-12,75.59222412109375,53.96066665649414,34.83104705810547,77.60212591001033,56.21933364868164,36.05471200989828,75.47085322222706,53.866668701171875,34.83104705810547,77.15062231412254,55.133331298828125,35.857346597945984,162301200,238603500,25439100
2020-05-13,74.67951965332031,52.73066711425781,33.10213088989258,76.69428120977256,55.06666564941406,34.63368557627796,73.60174537683079,50.88666534423828,32.841607071004645,75.77185784641975,54.72200012207031,34.53105771873805,200622400,285982500,30827900
2020-05-14,75.1383056640625,53.55533218383789,33.39423370361328,75.19899111956893,53.557334899902344,33.59159915459393,73.19394129911058,50.93333435058594,31.736365119998993,73.91731459558865,52.0,32.42319604617545,158929200,205233000,24856500
2020-05-15,74.69407653808594,53.27799987792969,33.157405853271484,74.74019807230623,53.66999816894531,33.95476119275242,72.87351305431154,52.436668395996094,33.03898534202918,72.90750046179672,52.689998626708984,33.45740227327562,166348400,157776000,22445600
2020-05-18,76.45394134521484,54.242000579833984,35.794189453125,76.82776572341807,55.64799880981445,35.98366156426742,75.32762345021945,53.59199905395508,34.78367955785086,76.01943893594208,55.185333251953125,35.05209662522768,135178400,174987000,32026100
2020-05-19,76.01217651367188,53.867332458496094,34.688961029052734,77.31812127307398,54.80466842651367,36.81261584867937,75.9806188920403,53.73866653442383,34.681067733721356,76.47095469800648,54.34466552734375,35.959995398072685,101729600,144547500,21771600
2020-05-20,77.49047088623047,54.37066650390625,35.817874908447266,77.56086067764168,55.06666564941406,35.983664146929996,76.83263524563915,54.119998931884766,35.18630617857122,76.87147482429302,54.70000076293945,35.22577865952149,111504800,109639500,19352400
2020-05-21,76.91272735595703,55.17333221435547,35.17841720581055,77.89340613060031,55.5,36.14945481187492,76.67483776673394,53.06666564941406,35.04420714023414,77.3520893444608,54.400001525878906,35.873141388185914,102688800,183819000,19130700
2020-05-22,77.40791320800781,54.45866775512695,35.20999526977539,77.49044450659204,55.45199966430664,35.265257355155875,76.54860541656436,54.133331298828125,34.30211600169754,76.65055279391973,54.81133270263672,34.775791879689656,81803200,149812500,15406400
2020-05-26,76.88360595703125,54.591331481933594,36.24418258666992,78.70659167112338,55.63999938964844,36.55207213435209,76.82777268129091,54.38066864013672,35.89682056059004,78.5269651260588,55.633331298828125,36.10997555780624,125522000,121345500,20356500
